premise,hypothesis,label,explanation_1,explanation_2,explanation_3,premise_highlighted_1,hypothesis_highlighted_1,premise_highlighted_2,hypothesis_highlighted_2,premise_highlighted_3,hypothesis_highlighted_3,premise_marked_1,hypothesis_marked_1,premise_marked_2,hypothesis_marked_2,premise_marked_3,hypothesis_marked_3,highlighted_premise_all,highlighted_hypothesis_all
A man with a beard is playing an acoustic guitar on the street.,A woman flashes bystanders.,2,The person must be either a man or a woman,"man doesn't mean woman, playing doesn't mean flashes",A man is not a woman.,,,,,,,A *man* with a beard is playing an acoustic guitar on the street.,A *woman* flashes bystanders.,A *man* with a beard is *playing* an acoustic guitar on the street.,A *woman* *flashes* bystanders.,A *man* with a beard is playing an acoustic guitar on the street.,A *woman* flashes bystanders.,"playing,man","flashes,woman"
A woman in a white apron prepares various meats on a large grill.,A man is eating his tv dinner.,2,Woman and man are different.,"Before preparing various meats on a large grill by a woman, a man cannot eat anything.","A woman is a female, and a man is a male. You must prepare the meal before you can be eating it. A tv dinner is made in the microwave, not on a large grill.",,,,,,,A *woman* in a white apron prepares various meats on a large grill.,A *man* is eating his tv dinner.,*A* *woman* in a white apron *prepares* various meats on a large grill.,A *man* is *eating* his tv dinner.,A *woman* in a white apron *prepares* *various* *meats* on a *large* *grill.*,A *man* is *eating* his *tv* *dinner.*,"A,meats,woman,various,large,prepares,grill","eating,tv,dinner,man"
A girl laying on the ground on her cellphone.,a boy on his cellphone standing on ground,2,Girl and boy are two different genders Laying and standing are two different actions.,A girl is not a boy. One can not be laying and standing simultaneously.,A girl is not a boy.,,,,,,,A *girl* *laying* on the ground on her cellphone.,a *boy* on his cellphone *standing* on ground,A *girl* *laying* on the ground on her cellphone.,a *boy* on his cellphone *standing* on ground,A *girl* laying on the ground on her cellphone.,a *boy* on his cellphone standing on ground,"girl,laying","standing,boy"
"A man wearing a graduation cap, a suit, and an orange shawl walks in front of city shops.",A woman wearing an evening gown is at a party.,2,"A man and a woman are two different people. An outfit consisting of a graduation cap, a suit, and an orange shawl is different than an evening gown. City shops are not the same location as a party.",The first sentence is about a man and the second sentence is about a woman.,"The person can either a man or a woman. The person is either wearing a graduation cap, suit, and orange shawl or an evening gown.",,,,,,," A *man* wearing a *graduation* *cap,* *a* *suit,* and an *orange* *shawl* walks in front of *city* *shops.*",A *woman* wearing an *evening* *gown* is at a *party.*," A *man* wearing a graduation cap, a suit, and an orange shawl walks in front of city shops.",A *woman* wearing an evening gown is at a party.," A *man* wearing a graduation cap, a suit, and an orange shawl walks in front of city shops.",A *woman* wearing an evening gown is at a party.,"graduation,suit,shops,shawl,cap,orange,city,a,man","gown,party,evening,woman"
A boy in swimming trunks wades out into the water.,The young girl gets into the water with her bathing suit.,2,A boy is not a girl.,"A boy and girl are opposite genders The reference ""wades out,"" describes exactly how the boy entered the water, while the ""girl gets into,"" is vague.",It is either a boy or a girl.,,,,,,,A *boy* in swimming trunks wades out into the water.,The young *girl* gets into the water with her bathing suit.,A *boy* in swimming trunks *wades* *out* into the water.,The young *girl* *gets* *into* the water with her bathing suit.,A *boy* in swimming trunks wades out into the water.,The young *girl* gets into the water with her bathing suit.,"out,wades,boy","girl,into,gets"
A shirtless man with a white hat and no shoes sitting crisscross with his back against the wall holding up a white plastic cup.,A woman is walking,2,There is either a woman or a man,Is it a man or a woman?,The person is either a man or a woman. The person can not be sitting and walking at the same time.,,,,,,,A shirtless *man* with a white hat and no shoes sitting crisscross with his back against the wall holding up a white plastic cup.,A *woman* is walking,A shirtless *man* with a white hat and no shoes sitting crisscross with his back against the wall holding up a white plastic cup.,A *woman* is walking,A shirtless *man* with a white hat and no shoes *sitting* crisscross with his back against the wall holding up a white plastic cup.,A *woman* is *walking*,"sitting,man","walking,woman"
The man is sweeping with a red broom.,The man is dancing with a woman,2,The man cannot be sweeping and dancing concurrently.,If a man is sweeping with a broom he is not dancing with a woman.  A woman is not a broom.  Sweeping is not dancing.,The man can't be sweeping and dancing at the same time.,,,,,,,The man is *sweeping* with a red broom.,The man is *dancing* with a woman,The *man* is *sweeping* with a red *broom.*,The man is *dancing* *with* a *woman*,The man is *sweeping* with a red broom.,The man is *dancing* with a woman,"broom,man,sweeping","dancing,with,woman"
A young boy holding a red toy wearing green snowman and reindeer pajamas with an older woman on a couch behind him.,The young boy is holding a toy.,0,"The young boy if holding a toy, the toy is red.",Both boy are holding a toy.,a young boy is holding a toy and an older woman on a couch behind him,,,,,,, A *young* *boy* holding a *red* *toy* wearing green snowman and reindeer pajamas with an older woman on a couch behind him., The *young* *boy* is holding a *toy.*, A young *boy* *holding* a red *toy* wearing green snowman and reindeer pajamas with an older woman on a couch behind him., The young *boy* is *holding* a *toy.*, A young boy *holding* a red toy wearing green snowman and reindeer pajamas with an *older* *woman* on a couch *behind* *him.*, The young boy is *holding* a *toy.*,"red,him,boy,holding,woman,young,toy,older,behind","holding,young,toy,boy"
An Ambulance is passing a man wearing a bandanna and girl.,The man in the bandana is running after the ambulance,2,"If the man is running after the ambulance, then the ambulance cannot still be passing the man. He must be behind it already.",A man cannot run after an ambulance when it is just passing by him.,When  An Ambulance is passing a man then the same man cannot be running after the ambulance,,,,,,,An Ambulance is *passing* a *man* wearing a bandanna and girl.,The *man* in the bandana is *running* *after* the ambulance,An Ambulance is *passing* *a* *man* wearing a bandanna and girl.,The man in the bandana is *running* *after* *the* *ambulance*,An Ambulance is *passing* a man wearing a bandanna and girl.,The man in the bandana is *running* after the ambulance,"a,man,passing","running,ambulance,after,the,man"
A man walks along with a can of soda in his hand.,A woman walks along with a can of soda in his hand.,2,"A man is referred to first, then a woman.",A man and a woman are different genders.  A woman cannot use his hand; she can use her hand.,Either a man is walking or a woman is walking but a person cant be both at the same time.,,,,,,,A *man* walks along with a can of soda in his hand.,A *woman* walks along with a can of soda in his hand.,A *man* walks along with a can of soda in *his* hand.,A *woman* walks along with a can of soda in *his* hand.,*A* *man* walks along with a can of soda in his hand.,*A* *woman* walks along with a can of soda in his hand.,"his,A,man","his,A,woman"
The man is trying to make a pottery that he can market soon.,A woman is soaking her feet.,2,A man is not the same as a woman.,A man and woman are two different genders.,man is different from a woman.,,,,,,,The *man* is trying to make a pottery that he can market soon.,A *woman* is soaking her feet.,The *man* is trying to make a pottery that he can market soon.,A *woman* is soaking her feet.,The *man* is trying to make a pottery that he can market soon.,A *woman* is soaking her feet.,man,woman
A man in a red shirt is sitting on top of a rocky mountain.,A woman standing on top of a rocky mountain.,2,It is either a man or a woman. Neither would be sitting and standing simultaneously.,There is a man in the first sentence and a woman in the second sentence.,A man is different from a woman.,,,,,,,A *man* in a red shirt is *sitting* on top of a rocky mountain.,A *woman* *standing* on top of a rocky mountain.,A *man* in a red shirt is sitting on top of a rocky mountain.,A *woman* standing on top of a rocky mountain.,A *man* in a red shirt is sitting on top of a rocky mountain.,A *woman* standing on top of a rocky mountain.,"sitting,man","standing,woman"
An Asian young woman wearing a white shirt and black pants is holding a pink purse.,The woman has a white shirt on.,0,An Asian woman in white shirt and black pants holding pink purse,The women is wearing a white shirt.,An Asian young woman wearing a white shirt so she has a white shirt on.,,,,,,, An *Asian* *young* woman wearing a white shirt and *black* *pants* is *holding* a *pink* *purse.*, The *woman* has a *white* shirt on., An *Asian* young *woman* wearing a white shirt and black pants is holding a pink purse., The *woman* has a *white* *shirt* on., An Asian young woman *wearing* *a* *white* *shirt* and black pants is holding a pink purse., The woman *has* *a* *white* *shirt* *on.*,"white,pink,woman,holding,young,shirt,black,wearing,purse,Asian,a,pants","white,woman,shirt,on,has,a"
